_id,ジャンルID,ジャンル階層名,商品属性定義詳細グループ
64fec5ddf6969c5e728f9828,508019,CD・DVD>DVD>TVドラマ>日本>刑事,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9829,508020,CD・DVD>DVD>TVドラマ>日本>時代劇,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f982a,507995,CD・DVD>DVD>アジア・韓国>青春,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f982b,400027,CD・DVD>DVD>TVドラマ>海外>アクション,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f982c,563992,CD・DVD>DVD>TVドキュメンタリー>宗教,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f982d,563993,CD・DVD>DVD>TVドキュメンタリー>スポーツ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f982e,563995,CD・DVD>DVD>TVドキュメンタリー>宇宙・科学,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f982f,563996,CD・DVD>DVD>TVドキュメンタリー>旅・紀行,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9830,563997,CD・DVD>DVD>TVドキュメンタリー>タレント,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9831,508077,CD・DVD>DVD>TVドキュメンタリー>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9832,500183,CD・DVD>DVD>趣味・実用・教養>語学,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9833,101373,CD・DVD>DVD>TVドラマ>日本>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9834,500186,CD・DVD>DVD>趣味・実用・教養>旅行,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9835,500187,CD・DVD>DVD>趣味・実用・教養>伝統,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9836,500188,CD・DVD>DVD>趣味・実用・教養>鉄道,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9837,508067,CD・DVD>DVD>趣味・実用・教養>飛行機,DVD・Blu-ray・LD・ビデオ
